,0
0,2.817
1,2.908
2,2.922
3,2.872
4,2.77
5,2.637
6,2.485
7,2.336
8,2.199
9,2.08
10,1.986
11,1.917
12,1.877
13,1.855
14,1.845
15,1.841
16,1.845
17,1.848
18,1.852
19,1.855
20,1.859
21,1.859
22,1.859
23,1.859
24,1.859
25,1.859
26,1.855
27,1.852
28,1.852
29,1.852
30,1.848
31,1.852
32,1.848
33,1.848
34,1.848
35,1.848
36,1.848
37,1.848
38,1.848
39,1.848
40,1.852
41,1.852
42,1.852
43,1.848
44,1.848
45,1.848
46,1.845
47,1.845
48,1.845
49,1.845
50,1.845
51,1.848
52,1.848
53,1.848
54,1.848
55,1.845
56,1.845
57,1.848
58,1.845
59,1.845
60,1.845
61,1.845
62,1.845
63,1.848
64,1.852
65,1.852
66,1.848
67,1.848
68,1.848
69,1.845
70,1.845
71,1.845
72,1.848
73,1.852
74,1.855
75,1.852
76,1.855
77,1.859
78,1.859
79,1.859
80,1.859
81,1.859
82,1.859
83,1.859
84,1.863
85,1.866
86,1.866
87,1.863
88,1.866
89,1.87
90,1.874
91,1.877
92,1.881
93,1.884
94,1.881
95,1.881
96,1.881
97,1.874
98,1.874
99,1.874
100,1.87
101,1.87
102,1.866
103,1.866
104,1.866
105,1.866
106,1.87
107,1.877
108,1.877
109,1.881
110,1.881
111,1.877
112,1.877
113,1.874
114,1.874
115,1.877
116,1.877
117,1.884
118,1.881
119,1.884
120,1.884
121,1.892
122,1.892
123,1.892
124,1.895
125,1.895
126,1.899
127,1.899
128,1.906
129,1.906
130,1.91
131,1.913
132,1.917
133,1.921
134,1.924
135,1.928
136,1.928
137,1.924
138,1.924
139,1.924
140,1.921
141,1.917
142,1.913
143,1.906
144,1.902
145,1.899
146,1.895
147,1.892
148,1.888
149,1.884
150,1.884
151,1.881
152,1.877
153,1.87
154,1.859
155,1.852
156,1.841
157,1.834
158,1.826
159,1.819
160,1.816
161,1.808
162,1.805
163,1.801
164,1.798
165,1.794
166,1.79
167,1.79
168,1.794
169,1.794
170,1.794
171,1.794
172,1.798
173,1.798
174,1.801
175,1.805
176,1.812
177,1.816
178,1.819
179,1.819
180,1.819
181,1.819
182,1.823
183,1.819
184,1.819
185,1.816
186,1.816
187,1.819
188,1.823
189,1.826
190,1.826
191,1.826
192,1.826
193,1.83
194,1.834
195,1.83
196,1.834
197,1.837
198,1.841
199,1.841
200,1.841
201,1.837
202,1.83
203,1.826
204,1.826
205,1.823
206,1.823
207,1.823
208,1.826
209,1.826
210,1.83
211,1.83
212,1.83
213,1.826
214,1.826
215,1.826
216,1.826
217,1.826
218,1.83
219,1.83
220,1.83
221,1.826
222,1.826
223,1.823
224,1.819
