,0
0,1.823
1,1.823
2,1.826
3,1.826
4,1.826
5,1.823
6,1.823
7,1.826
8,1.826
9,1.83
10,1.83
11,1.83
12,1.83
13,1.834
14,1.834
15,1.834
16,1.837
17,1.837
18,1.837
19,1.837
20,1.837
21,1.834
22,1.83
23,1.83
24,1.83
25,1.83
26,1.83
27,1.834
28,1.837
29,1.841
30,1.845
31,1.848
32,1.848
33,1.845
34,1.845
35,1.848
36,1.848
37,1.852
38,1.855
39,1.855
40,1.855
41,1.855
42,1.855
43,1.852
44,1.855
45,1.855
46,1.859
47,1.866
48,1.866
49,1.87
50,1.87
51,1.87
52,1.87
53,1.87
54,1.87
55,1.874
56,1.881
57,1.888
58,1.892
59,1.895
60,1.899
61,1.902
62,1.906
63,1.913
64,1.917
65,1.917
66,1.924
67,1.924
68,1.928
69,1.931
70,1.931
71,1.935
72,1.942
73,1.946
74,1.953
75,1.957
76,1.964
77,1.968
78,1.968
79,1.968
80,1.971
81,1.971
82,1.975
83,1.975
84,1.975
85,1.978
86,1.978
87,1.978
88,1.982
89,1.982
90,1.982
91,1.982
92,1.982
93,1.982
94,1.986
95,1.986
96,1.986
97,1.982
98,1.982
99,1.975
100,1.971
101,1.968
102,1.96
103,1.957
104,1.953
105,1.946
106,1.935
107,1.924
108,1.91
109,1.899
110,1.884
111,1.87
112,1.855
113,1.845
114,1.834
115,1.826
116,1.816
117,1.812
118,1.801
119,1.794
120,1.787
121,1.779
122,1.776
123,1.769
124,1.765
125,1.758
126,1.754
127,1.747
128,1.743
129,1.736
130,1.732
131,1.729
132,1.725
133,1.729
134,1.729
135,1.729
136,1.729
137,1.729
138,1.732
139,1.736
140,1.732
141,1.732
142,1.732
143,1.732
144,1.732
145,1.732
146,1.732
147,1.732
148,1.736
149,1.736
150,1.74
151,1.74
152,1.74
153,1.743
154,1.743
155,1.747
156,1.747
157,1.751
158,1.751
159,1.751
160,1.751
161,1.751
162,1.751
163,1.754
164,1.754
165,1.754
166,1.754
167,1.751
168,1.751
169,1.747
170,1.751
171,1.754
172,1.758
173,1.758
174,1.758
175,1.761
176,1.761
177,1.761
178,1.765
179,1.765
180,1.765
181,1.765
182,1.765
183,1.765
184,1.769
185,1.765
186,1.765
187,1.765
188,1.769
189,1.769
190,1.769
191,1.772
192,1.772
193,1.776
194,1.776
195,1.779
196,1.779
197,1.779
198,1.779
199,1.783
200,1.787
201,1.787
202,1.79
203,1.79
204,1.794
205,1.787
206,1.787
207,1.787
208,1.787
209,1.79
210,1.794
211,1.794
212,1.798
213,1.801
214,1.805
215,1.808
216,1.805
217,1.801
218,1.798
219,1.794
220,1.794
221,1.794
222,1.798
223,1.798
224,1.801
225,1.801
226,1.801
227,1.801
228,1.798
229,1.801
230,1.805
231,1.805
232,1.808
233,1.808
234,1.808
235,1.805
236,1.805
237,1.805
238,1.801
239,1.801
240,1.801
241,1.798
242,1.794
243,1.794
244,1.798
245,1.801
246,1.805
247,1.812
248,1.812
249,1.816
250,1.819
251,1.819
252,1.819
253,1.816
254,1.816
255,1.812
256,1.808
257,1.808
258,1.808
259,1.808
260,1.808
261,1.808
262,1.812
263,1.812
264,1.812
265,1.812
266,1.816
267,1.816
268,1.819
269,1.823
270,1.819
271,1.819
272,1.819
273,1.819
274,1.819
275,1.819
276,1.819
277,1.819
278,1.819
279,1.819
280,1.819
281,1.812
282,1.812
283,1.812
284,1.808
285,1.808
286,1.805
287,1.808
288,1.808
289,1.808
290,1.812
291,1.812
292,1.808
293,1.812
294,1.812
295,1.816
296,1.816
297,1.816
298,1.816
299,1.816
300,1.816
301,1.816
302,1.812
303,1.812
304,1.812
305,1.808
306,1.812
307,1.816
308,1.819
309,1.819
310,1.823
311,1.826
312,1.826
313,1.826
314,1.826
315,1.826
316,1.826
317,1.826
318,1.823
319,1.823
320,1.819
321,1.819
322,1.819
323,1.819
324,1.819
325,1.819
326,1.819
327,1.819
328,1.816
329,1.812
330,1.812
331,1.808
332,1.805
333,1.801
334,1.805
335,1.805
336,1.805
337,1.805
338,1.805
339,1.805
340,1.808
341,1.812
342,1.816
343,1.819
344,1.826
345,1.83
346,1.837
347,1.845
348,1.848
349,1.848
350,1.852
351,1.852
352,1.848
353,1.848
354,1.845
355,1.848
356,1.848
357,1.848
358,1.848
359,1.845
360,1.841
361,1.837
362,1.837
363,1.834
364,1.834
365,1.83
366,1.83
367,1.823
368,1.823
369,1.819
370,1.816
371,1.812
372,1.812
373,1.812
374,1.812
375,1.812
376,1.812
377,1.816
378,1.812
379,1.812
380,1.812
381,1.812
382,1.812
383,1.812
384,1.812
385,1.816
386,1.816
387,1.816
388,1.819
389,1.816
390,1.812
391,1.808
392,1.808
393,1.808
394,1.808
395,1.808
396,1.808
397,1.808
398,1.808
399,1.812
400,1.808
401,1.808
402,1.808
403,1.805
404,1.801
405,1.794
406,1.783
407,1.772
408,1.758
409,1.743
410,1.732
411,1.732
412,1.743
413,1.772
414,1.83
415,1.921
416,2.047
417,2.199
418,2.358
419,2.51
420,2.651
421,2.756
422,2.825
423,2.857
424,2.85
425,2.792
426,2.695
427,2.561
428,2.409
429,2.257
430,2.112
431,1.989
432,1.899
433,1.848
434,1.823
435,1.816
436,1.819
437,1.823
438,1.83
439,1.83
440,1.823
441,1.812
442,1.801
443,1.779
444,1.765
445,1.754
446,1.743
447,1.736
448,1.736
449,1.74
450,1.743
451,1.743
452,1.747
453,1.747
454,1.751
455,1.754
456,1.761
457,1.765
458,1.769
459,1.772
460,1.776
461,1.779
462,1.783
463,1.79
464,1.79
465,1.79
466,1.794
467,1.798
468,1.801
469,1.805
470,1.808
471,1.812
472,1.812
473,1.816
474,1.812
475,1.805
476,1.801
477,1.794
478,1.79
479,1.783
480,1.779
481,1.772
482,1.765
483,1.761
484,1.754
485,1.751
486,1.74
487,1.732
488,1.725
489,1.722
490,1.718
491,1.711
492,1.707
493,1.704
494,1.704
495,1.704
496,1.707
497,1.707
498,1.714
499,1.718
500,1.722
501,1.725
502,1.729
503,1.732
504,1.74
505,1.747
506,1.751
507,1.761
508,1.765
509,1.769
510,1.776
511,1.779
512,1.787
513,1.794
514,1.801
515,1.812
516,1.823
517,1.834
518,1.845
519,1.859
520,1.87
521,1.877
522,1.888
523,1.895
524,1.902
525,1.91
526,1.921
527,1.931
528,1.942
529,1.949
530,1.96
531,1.971
532,1.978
533,1.989
534,1.993
535,2.0
536,2.004
537,2.007
538,2.011
539,2.018
540,2.018
541,2.022
542,2.022
543,2.022
544,2.022
545,2.022
546,2.022
547,2.022
548,2.018
549,2.015
550,2.015
551,2.007
552,2.0
553,1.993
554,1.989
555,1.986
556,1.982
557,1.978
558,1.978
559,1.971
560,1.964
561,1.953
562,1.942
563,1.928
564,1.917
565,1.906
566,1.899
567,1.892
568,1.881
569,1.87
570,1.859
571,1.852
572,1.837
573,1.823
574,1.808
575,1.798
576,1.787
577,1.783
578,1.776
579,1.772
580,1.765
581,1.758
582,1.754
583,1.747
584,1.74
585,1.736
586,1.732
587,1.729
588,1.729
589,1.725
590,1.722
591,1.722
592,1.722
593,1.725
594,1.725
595,1.729
596,1.729
597,1.729
598,1.729
599,1.725
600,1.725
601,1.725
602,1.725
603,1.729
604,1.732
605,1.74
606,1.747
607,1.754
608,1.758
609,1.761
610,1.761
611,1.761
612,1.765
613,1.769
614,1.772
615,1.776
616,1.776
617,1.776
618,1.772
619,1.769
620,1.769
621,1.769
622,1.769
623,1.769
624,1.769
625,1.769
626,1.772
627,1.769
628,1.769
629,1.765
630,1.761
631,1.761
632,1.761
633,1.758
634,1.761
635,1.765
636,1.765
637,1.765
638,1.761
639,1.761
640,1.761
641,1.758
642,1.758
643,1.758
644,1.758
645,1.754
646,1.758
647,1.758
648,1.754
649,1.754
650,1.758
651,1.758
652,1.758
653,1.761
654,1.761
655,1.765
656,1.761
657,1.761
658,1.761
659,1.761
660,1.761
661,1.761
662,1.758
663,1.758
664,1.754
665,1.754
666,1.751
667,1.751
668,1.751
669,1.754
670,1.751
671,1.751
672,1.754
673,1.758
674,1.758
675,1.758
676,1.758
677,1.754
678,1.754
679,1.754
680,1.758
681,1.758
682,1.758
683,1.761
684,1.765
685,1.765
686,1.765
687,1.769
688,1.772
689,1.772
690,1.776
691,1.779
692,1.776
693,1.776
694,1.772
695,1.772
696,1.769
697,1.769
698,1.772
699,1.776
700,1.776
701,1.779
702,1.783
703,1.783
704,1.787
705,1.787
706,1.783
707,1.779
708,1.779
709,1.779
710,1.783
711,1.783
712,1.787
713,1.787
714,1.79
715,1.79
716,1.79
717,1.79
718,1.79
719,1.787
720,1.783
721,1.779
722,1.776
723,1.779
