,0
0,2.416
1,2.326
2,2.264
3,2.232
4,2.21
5,2.192
6,2.17
7,2.145
8,2.112
9,2.076
10,2.033
11,1.986
12,1.939
13,1.892
14,1.848
15,1.808
16,1.779
17,1.754
18,1.736
19,1.722
20,1.718
21,1.718
22,1.722
23,1.722
24,1.725
25,1.729
26,1.732
27,1.736
28,1.74
29,1.74
30,1.743
31,1.743
32,1.743
33,1.747
34,1.747
35,1.751
36,1.751
37,1.754
38,1.754
39,1.754
40,1.754
41,1.754
42,1.754
43,1.751
44,1.747
45,1.747
46,1.747
47,1.751
48,1.754
49,1.758
50,1.765
51,1.769
52,1.779
53,1.783
54,1.787
55,1.794
56,1.798
57,1.801
58,1.801
59,1.805
60,1.808
61,1.808
62,1.812
63,1.812
64,1.812
65,1.816
66,1.823
67,1.826
68,1.834
69,1.837
70,1.841
71,1.845
72,1.852
73,1.855
74,1.863
75,1.863
76,1.866
77,1.874
78,1.881
79,1.888
80,1.892
81,1.902
82,1.91
83,1.917
84,1.928
85,1.939
86,1.946
87,1.953
88,1.964
89,1.971
90,1.978
91,1.986
92,1.996
93,2.007
94,2.015
95,2.025
96,2.036
97,2.043
98,2.047
99,2.054
100,2.062
101,2.065
102,2.072
103,2.08
104,2.087
105,2.094
106,2.098
107,2.105
108,2.109
109,2.112
110,2.116
111,2.116
112,2.116
113,2.112
114,2.105
115,2.098
116,2.087
117,2.072
118,2.058
119,2.036
120,2.018
121,2.0
122,1.986
123,1.968
124,1.946
125,1.924
126,1.906
127,1.884
128,1.874
129,1.859
130,1.848
131,1.837
132,1.826
133,1.812
134,1.798
135,1.783
136,1.769
137,1.751
138,1.732
139,1.718
140,1.696
141,1.682
142,1.667
143,1.653
144,1.646
145,1.642
146,1.638
147,1.638
148,1.642
149,1.642
150,1.646
151,1.642
152,1.638
153,1.635
154,1.631
155,1.631
156,1.628
157,1.631
158,1.635
159,1.638
160,1.638
161,1.642
162,1.642
163,1.642
164,1.642
165,1.646
166,1.653
167,1.657
168,1.66
169,1.66
170,1.66
171,1.66
172,1.66
173,1.66
174,1.664
175,1.671
176,1.675
177,1.678
178,1.675
179,1.671
180,1.671
181,1.667
182,1.671
183,1.671
184,1.678
185,1.682
186,1.682
187,1.682
188,1.682
189,1.682
190,1.685
191,1.693
192,1.696
193,1.707
194,1.707
195,1.711
196,1.711
197,1.711
198,1.711
199,1.707
200,1.707
201,1.707
202,1.704
203,1.704
204,1.707
205,1.707
206,1.711
207,1.722
208,1.729
209,1.74
210,1.751
211,1.761
212,1.779
213,1.801
214,1.819
215,1.841
216,1.859
217,1.87
218,1.87
219,1.855
220,1.83
221,1.801
222,1.776
223,1.751
224,1.74
225,1.732
226,1.725
227,1.718
228,1.711
229,1.707
230,1.707
231,1.711
232,1.714
233,1.718
234,1.722
235,1.725
236,1.736
237,1.743
238,1.751
239,1.761
240,1.769
241,1.772
242,1.779
243,1.783
244,1.79
245,1.79
246,1.783
247,1.779
248,1.769
249,1.769
250,1.769
251,1.772
252,1.772
253,1.769
254,1.765
255,1.769
256,1.776
257,1.779
258,1.783
259,1.783
260,1.787
261,1.79
262,1.794
263,1.801
264,1.805
265,1.812
266,1.816
267,1.823
268,1.819
269,1.819
270,1.812
271,1.812
272,1.812
273,1.812
274,1.819
275,1.823
276,1.823
277,1.826
278,1.826
279,1.83
280,1.83
281,1.83
282,1.83
283,1.834
284,1.837
285,1.845
286,1.855
287,1.87
288,1.881
289,1.892
290,1.899
291,1.899
292,1.895
293,1.899
294,1.902
295,1.902
296,1.902
297,1.902
298,1.899
299,1.899
300,1.899
301,1.899
302,1.892
303,1.888
304,1.892
305,1.892
306,1.888
307,1.884
308,1.877
309,1.874
310,1.866
311,1.859
312,1.855
313,1.848
314,1.845
315,1.841
316,1.837
317,1.837
318,1.834
319,1.834
320,1.834
321,1.834
322,1.837
323,1.845
324,1.845
325,1.848
326,1.852
327,1.852
328,1.852
329,1.852
330,1.855
331,1.859
332,1.863
333,1.866
334,1.87
335,1.866
336,1.866
337,1.863
338,1.863
339,1.866
340,1.87
341,1.87
342,1.874
343,1.874
344,1.877
345,1.877
346,1.877
347,1.877
348,1.877
349,1.877
350,1.877
351,1.874
352,1.874
353,1.874
354,1.866
355,1.859
356,1.848
357,1.83
358,1.808
359,1.776
360,1.74
361,1.7
362,1.664
363,1.646
364,1.66
365,1.722
366,1.845
367,2.033
368,2.271
369,2.535
370,2.803
371,3.045
372,3.215
373,3.302
374,3.335
375,3.349
376,3.36
377,3.374
378,3.353
379,3.291
380,3.19
381,3.06
382,2.901
383,2.734
384,2.572
385,2.427
386,2.318
387,2.239
388,2.192
389,2.148
390,2.123
391,2.094
392,2.062
393,2.025
