,0
0,1.711
1,1.714
2,1.718
3,1.718
4,1.718
5,1.722
6,1.725
7,1.725
8,1.729
9,1.729
10,1.736
11,1.736
12,1.74
13,1.743
14,1.747
15,1.751
16,1.754
17,1.754
18,1.758
19,1.761
20,1.761
21,1.765
22,1.761
23,1.761
24,1.761
25,1.765
26,1.765
27,1.765
28,1.765
29,1.769
30,1.769
31,1.772
32,1.776
33,1.783
34,1.783
35,1.783
36,1.787
37,1.79
38,1.787
39,1.787
40,1.783
41,1.779
42,1.779
43,1.779
44,1.783
45,1.783
46,1.787
47,1.79
48,1.794
49,1.794
50,1.79
51,1.79
52,1.787
53,1.783
54,1.779
55,1.776
56,1.776
57,1.776
58,1.783
59,1.783
60,1.783
61,1.779
62,1.779
63,1.776
64,1.776
65,1.772
66,1.772
67,1.776
68,1.776
69,1.779
70,1.779
71,1.779
72,1.779
73,1.776
74,1.776
75,1.776
76,1.776
77,1.779
78,1.783
79,1.783
80,1.779
81,1.779
82,1.776
83,1.769
84,1.769
85,1.765
86,1.765
87,1.769
88,1.772
89,1.776
90,1.776
91,1.779
92,1.779
93,1.779
94,1.783
95,1.783
96,1.787
97,1.787
98,1.779
99,1.765
100,1.74
101,1.718
102,1.718
103,1.729
104,1.754
105,1.779
106,1.794
107,1.798
108,1.794
109,1.79
110,1.79
111,1.798
112,1.801
113,1.801
114,1.798
115,1.794
116,1.794
117,1.798
118,1.801
119,1.805
120,1.805
121,1.805
122,1.805
123,1.801
124,1.801
125,1.805
126,1.805
127,1.805
128,1.805
129,1.805
130,1.801
131,1.801
132,1.801
133,1.801
134,1.805
135,1.805
136,1.805
137,1.805
138,1.801
139,1.805
140,1.805
141,1.805
142,1.808
143,1.805
144,1.805
145,1.805
146,1.801
147,1.801
148,1.805
149,1.801
150,1.805
151,1.805
152,1.805
153,1.801
154,1.801
155,1.801
156,1.798
157,1.794
158,1.79
159,1.79
160,1.79
161,1.79
162,1.79
163,1.79
164,1.79
165,1.794
166,1.794
167,1.794
168,1.79
169,1.787
170,1.787
171,1.783
172,1.783
173,1.787
174,1.787
175,1.787
176,1.787
177,1.783
178,1.776
179,1.772
180,1.769
181,1.769
182,1.769
183,1.772
184,1.769
185,1.765
186,1.765
187,1.765
188,1.765
189,1.765
190,1.761
191,1.761
192,1.765
193,1.769
194,1.772
195,1.772
196,1.776
197,1.779
198,1.787
199,1.79
200,1.79
201,1.79
202,1.79
203,1.787
204,1.783
205,1.783
206,1.779
207,1.776
208,1.772
209,1.769
210,1.769
211,1.769
212,1.765
213,1.761
214,1.758
215,1.754
216,1.751
217,1.751
218,1.747
219,1.751
220,1.754
221,1.758
222,1.761
223,1.765
224,1.769
225,1.769
226,1.769
227,1.769
228,1.769
229,1.772
230,1.776
231,1.776
232,1.779
233,1.779
234,1.779
235,1.776
236,1.776
237,1.772
238,1.772
239,1.769
240,1.769
241,1.769
242,1.772
243,1.772
244,1.776
245,1.776
246,1.783
247,1.787
248,1.794
249,1.798
250,1.801
251,1.801
252,1.808
253,1.808
254,1.812
255,1.816
256,1.819
257,1.823
258,1.823
259,1.819
260,1.816
261,1.816
262,1.812
263,1.812
264,1.808
265,1.805
266,1.801
267,1.801
268,1.798
269,1.798
270,1.794
271,1.794
272,1.798
273,1.801
274,1.805
275,1.808
276,1.812
277,1.816
278,1.816
279,1.816
280,1.816
281,1.816
282,1.816
283,1.816
284,1.816
285,1.816
286,1.816
287,1.812
288,1.808
289,1.812
290,1.812
291,1.812
292,1.816
293,1.816
294,1.819
295,1.823
296,1.819
297,1.823
298,1.823
299,1.819
300,1.812
301,1.801
302,1.779
303,1.747
304,1.707
305,1.657
306,1.602
307,1.555
308,1.53
309,1.537
310,1.588
311,1.671
312,1.787
313,1.931
314,2.087
315,2.261
316,2.452
317,2.651
318,2.832
319,2.984
320,3.103
321,3.172
322,3.179
323,3.143
324,3.085
325,3.02
326,2.951
327,2.893
328,2.836
329,2.77
330,2.695
331,2.611
332,2.525
333,2.434
334,2.344
335,2.253
336,2.17
337,2.091
338,2.018
339,1.949
340,1.895
341,1.848
342,1.812
343,1.779
344,1.758
345,1.743
346,1.732
347,1.725
348,1.722
349,1.718
350,1.714
351,1.711
352,1.704
353,1.7
354,1.693
355,1.689
356,1.689
357,1.685
358,1.685
359,1.689
360,1.689
361,1.689
362,1.685
363,1.682
364,1.682
365,1.678
366,1.675
367,1.675
368,1.66
369,1.657
370,1.649
371,1.646
372,1.642
373,1.638
374,1.635
375,1.635
376,1.635
377,1.635
378,1.635
379,1.631
380,1.631
381,1.631
382,1.631
383,1.631
384,1.628
385,1.624
386,1.624
387,1.62
388,1.617
389,1.617
390,1.62
391,1.62
392,1.62
393,1.624
394,1.624
395,1.62
396,1.62
397,1.617
398,1.613
399,1.606
400,1.602
401,1.595
402,1.591
403,1.584
404,1.581
405,1.581
406,1.577
407,1.573
408,1.57
409,1.562
410,1.552
411,1.544
412,1.537
413,1.534
414,1.537
415,1.541
416,1.544
417,1.552
418,1.552
419,1.555
420,1.552
421,1.552
422,1.552
423,1.548
424,1.548
425,1.548
426,1.552
427,1.555
428,1.562
429,1.562
430,1.562
431,1.559
432,1.555
433,1.548
434,1.544
435,1.537
436,1.534
437,1.53
438,1.526
439,1.526
440,1.526
441,1.53
442,1.53
443,1.534
444,1.534
445,1.537
446,1.537
447,1.537
448,1.537
449,1.541
450,1.544
451,1.552
452,1.552
453,1.555
454,1.555
455,1.555
456,1.559
457,1.562
458,1.566
459,1.57
460,1.57
461,1.57
462,1.573
463,1.573
464,1.573
465,1.57
466,1.566
467,1.566
468,1.562
469,1.559
470,1.559
471,1.559
472,1.555
473,1.559
474,1.566
475,1.573
476,1.581
477,1.584
478,1.588
479,1.591
480,1.595
481,1.602
482,1.606
483,1.613
484,1.62
485,1.628
486,1.635
487,1.642
488,1.646
489,1.649
490,1.653
491,1.653
492,1.657
493,1.657
494,1.66
495,1.66
496,1.66
497,1.667
498,1.671
499,1.678
500,1.682
501,1.685
502,1.689
503,1.693
504,1.696
505,1.7
506,1.704
507,1.707
508,1.714
509,1.718
510,1.725
511,1.732
512,1.736
513,1.74
514,1.74
515,1.743
516,1.747
517,1.754
518,1.754
