,0
0,0.481
1,0.4847
2,0.4847
3,0.4847
4,0.481
5,0.4883
6,0.4847
7,0.481
8,0.4847
9,0.4847
10,0.4883
11,0.4883
12,0.4919
13,0.4847
14,0.4883
15,0.4883
16,0.481
17,0.4847
18,0.4919
19,0.4847
20,0.4847
21,0.4883
22,0.4883
23,0.4847
24,0.4847
25,0.4919
26,0.4847
27,0.4847
28,0.4883
29,0.4919
30,0.4883
31,0.4738
32,0.4919
33,0.4883
34,0.4919
35,0.4847
36,0.4919
37,0.4955
38,0.4883
39,0.4919
40,0.4847
41,0.4847
42,0.481
43,0.4847
44,0.4883
45,0.481
46,0.4883
47,0.4883
48,0.4919
49,0.4919
50,0.481
51,0.4883
52,0.4883
53,0.4847
54,0.4919
55,0.4847
56,0.4847
57,0.4847
58,0.4847
59,0.4919
60,0.4883
61,0.4883
62,0.481
63,0.4883
64,0.481
65,0.481
66,0.4883
67,0.4883
68,0.4883
69,0.4847
70,0.4883
71,0.4919
72,0.4919
73,0.4847
74,0.4847
75,0.481
76,0.481
77,0.4919
78,0.4883
79,0.4919
80,0.481
81,0.4919
82,0.4883
83,0.4919
84,0.4847
85,0.4738
86,0.4919
87,0.4883
88,0.4883
89,0.4847
90,0.4847
91,0.4919
92,0.4919
93,0.4883
94,0.4847
95,0.4738
96,0.4847
97,0.4847
98,0.4847
99,0.4883
100,0.4883
101,0.4919
102,0.4919
103,0.4847
104,0.4847
105,0.4847
106,0.481
107,0.4847
108,0.4847
109,0.4847
110,0.4847
111,0.4919
112,0.4883
113,0.4883
114,0.4847
115,0.4847
116,0.481
117,0.4883
118,0.4883
119,0.4847
120,0.4847
121,0.4919
122,0.481
123,0.4847
124,0.4919
125,0.4919
126,0.4847
127,0.4847
128,0.4991
129,0.4919
130,0.4883
131,0.481
132,0.481
133,0.4883
134,0.4847
135,0.4919
136,0.4919
137,0.4919
138,0.4919
139,0.481
140,0.4883
141,0.4919
142,0.4883
143,0.4847
144,0.481
145,0.4883
146,0.4919
