,0
0,1.874
1,1.921
2,1.928
3,1.913
4,1.917
5,1.913
6,1.928
7,1.895
8,1.863
9,1.845
10,1.852
11,1.859
12,1.855
13,1.852
14,1.837
15,1.834
16,1.79
17,1.761
18,1.772
19,1.805
20,1.863
21,1.924
22,1.96
23,1.949
24,1.921
25,1.888
26,1.841
27,1.805
28,1.779
29,1.801
30,1.808
31,1.758
32,1.657
33,1.544
34,1.418
35,1.313
36,1.378
37,1.443
38,1.494
39,1.613
40,2.3
41,2.767
42,2.763
43,2.691
44,2.402
45,2.04
46,1.418
47,1.045
48,1.157
49,1.259
50,1.978
51,2.528
52,2.749
53,2.72
54,2.43
55,1.986
56,1.479
57,1.052
58,1.009
59,1.125
60,1.222
61,1.306
62,1.378
63,1.479
64,1.685
65,1.812
66,1.877
67,1.902
68,1.895
69,1.902
70,1.946
71,2.022
72,2.087
73,2.112
74,2.145
75,2.141
76,2.163
77,2.163
78,2.145
79,2.083
80,2.015
81,1.924
82,1.848
83,1.798
84,1.747
85,1.722
86,1.678
87,1.675
88,1.667
89,1.664
90,1.646
91,1.646
92,1.66
93,1.685
94,1.718
95,1.718
96,1.732
97,1.718
98,1.693
99,1.66
100,1.664
101,1.704
102,1.769
103,1.852
104,1.902
105,1.921
106,1.921
107,1.895
108,1.888
109,1.902
110,1.939
111,1.964
112,1.975
113,1.964
114,1.939
115,1.899
116,1.866
117,1.841
118,1.798
119,1.765
120,1.74
121,1.718
122,1.7
123,1.751
124,1.808
125,1.859
126,1.888
127,1.902
128,1.899
129,1.87
130,1.837
131,1.834
132,1.823
133,1.826
134,1.83
135,1.841
136,1.841
137,1.819
138,1.816
139,1.801
140,1.776
141,1.747
142,1.718
143,1.707
144,1.722
145,1.747
146,1.783
147,1.874
148,2.098
149,2.148
150,2.058
151,1.942
152,1.841
153,1.798
154,1.747
155,1.704
156,1.714
157,1.769
158,1.823
159,1.83
160,1.826
161,1.798
162,1.761
163,1.747
164,1.718
165,1.718
166,1.751
167,1.794
168,1.816
169,1.826
170,1.834
171,1.841
172,1.845
173,1.855
174,1.841
175,1.823
176,1.834
177,1.877
178,1.939
179,1.96
180,1.96
181,1.921
182,1.866
183,1.794
184,1.74
185,1.736
186,1.769
187,1.826
188,1.874
189,1.884
190,1.881
191,1.855
192,1.848
193,1.845
194,1.837
195,1.83
196,1.837
197,1.826
198,1.826
199,1.805
200,1.765
201,1.732
202,1.714
203,1.722
204,1.747
205,1.765
206,1.826
207,1.848
208,1.769
209,1.722
210,1.725
211,1.772
212,1.845
