,0
0,360.0
1,368.0
2,381.0
3,389.0
4,380.0
5,374.0
6,379.0
7,389.0
8,379.0
9,352.0
10,349.0
11,354.0
12,365.0
13,374.0
14,360.0
15,353.0
16,350.0
17,342.0
18,332.0
19,331.0
20,327.0
21,322.0
22,317.0
23,316.0
24,314.0
25,309.0
26,312.0
27,314.0
28,318.0
29,316.0
30,313.0
31,306.0
32,305.0
33,307.0
34,302.0
35,296.0
36,296.0
37,309.0
38,317.0
39,334.0
40,365.0
41,396.0
42,396.0
43,391.0
44,378.0
45,343.0
46,302.0
47,279.0
48,280.0
49,298.0
50,317.0
51,322.0
52,315.0
53,319.0
54,314.0
55,311.0
56,310.0
57,310.0
58,314.0
59,314.0
60,317.0
61,327.0
62,331.0
63,330.0
64,328.0
65,322.0
66,331.0
67,341.0
68,350.0
69,350.0
70,345.0
71,344.0
72,353.0
73,359.0
74,344.0
75,336.0
76,346.0
77,357.0
78,359.0
79,345.0
80,336.0
81,342.0
82,349.0
83,357.0
84,365.0
85,369.0
86,365.0
87,364.0
88,362.0
89,367.0
90,369.0
91,364.0
92,370.0
93,380.0
94,381.0
95,372.0
96,365.0
97,366.0
98,364.0
99,361.0
100,362.0
101,356.0
102,349.0
103,340.0
104,338.0
105,333.0
106,316.0
107,314.0
108,317.0
109,307.0
110,296.0
111,298.0
112,304.0
113,297.0
114,298.0
115,301.0
116,292.0
117,288.0
118,291.0
119,296.0
120,301.0
121,298.0
122,295.0
123,299.0
124,304.0
125,305.0
126,307.0
127,309.0
128,304.0
129,304.0
130,306.0
131,305.0
132,306.0
133,308.0
134,304.0
135,304.0
136,300.0
137,302.0
138,306.0
139,309.0
140,307.0
141,314.0
142,315.0
143,308.0
144,311.0
145,310.0
146,311.0
147,311.0
148,311.0
149,308.0
150,318.0
151,319.0
152,314.0
153,309.0
154,313.0
155,317.0
156,316.0
157,309.0
158,302.0
159,304.0
160,311.0
161,310.0
162,312.0
163,312.0
164,305.0
165,309.0
166,314.0
167,312.0
168,308.0
169,313.0
